symbol,date,open,high,low,close,volume,adjusted
TSLA,2020-09-29,416,428.5,411.600006,419.070007,50219300,419.070007
TSLA,2020-09-30,421.320007,433.929993,420.470001,429.01001,48145600,429.01001
TSLA,2020-10-01,440.76001,448.880005,434.420013,448.160004,50741500,448.160004
TSLA,2020-10-02,421.390015,439.130005,415,415.089996,71430000,415.089996
TSLA,2020-10-03,421.390015,439.130005,415,415.089996,NA,415.089996
TSLA,2020-10-04,421.390015,439.130005,415,415.089996,NA,415.089996
TSLA,2020-10-05,423.350006,433.640015,419.329987,425.679993,44722800,425.679993
TSLA,2020-10-06,423.790009,428.779999,406.049988,413.980011,49146300,413.980011
TSLA,2020-10-07,419.869995,429.899994,413.850006,425.299988,43127700,425.299988
TSLA,2020-10-08,438.440002,439,425.299988,425.920013,40421100,425.920013
TSLA,2020-10-09,430.130005,434.589996,426.459991,434,28925700,434
TSLA,2020-10-10,430.130005,434.589996,426.459991,434,NA,434
TSLA,2020-10-11,430.130005,434.589996,426.459991,434,NA,434
TSLA,2020-10-12,442,448.73999,438.579987,442.299988,38791100,442.299988
TSLA,2020-10-13,443.350006,448.890015,436.600006,446.649994,34463700,446.649994
TSLA,2020-10-14,449.779999,465.899994,447.350006,461.299988,47879700,461.299988
TSLA,2020-10-15,450.309998,456.570007,442.5,448.880005,35672400,448.880005
TSLA,2020-10-16,454.440002,455.950012,438.850006,439.670013,32775900,439.670013
TSLA,2020-10-17,454.440002,455.950012,438.850006,439.670013,NA,439.670013
TSLA,2020-10-18,454.440002,455.950012,438.850006,439.670013,NA,439.670013
TSLA,2020-10-19,446.23999,447,428.869995,430.829987,36287800,430.829987
TSLA,2020-10-20,431.75,431.75,419.049988,421.940002,31656300,421.940002
TSLA,2020-10-21,422.700012,432.950012,421.25,422.640015,32370500,422.640015
TSLA,2020-10-22,441.920013,445.230011,424.51001,425.790009,39993200,425.790009
TSLA,2020-10-23,421.839996,422.890015,407.380005,420.630005,33717000,420.630005
TSLA,2020-10-24,421.839996,422.890015,407.380005,420.630005,NA,420.630005
TSLA,2020-10-25,421.839996,422.890015,407.380005,420.630005,NA,420.630005
TSLA,2020-10-26,411.630005,425.76001,410,420.279999,28239200,420.279999
TSLA,2020-10-27,423.76001,430.5,420.100006,424.679993,22686500,424.679993
TSLA,2020-10-28,416.480011,418.600006,406,406.019989,25451400,406.019989
TSLA,2020-10-29,409.959991,418.059998,406.459991,410.829987,22655300,410.829987
TSLA,2020-10-30,406.899994,407.589996,379.109985,388.040009,42511300,388.040009
TSLA,2020-10-31,406.899994,407.589996,379.109985,388.040009,NA,388.040009
TSLA,2020-11-01,406.899994,407.589996,379.109985,388.040009,NA,388.040009
TSLA,2020-11-02,394,406.980011,392.299988,400.51001,29021100,400.51001
TSLA,2020-11-03,409.730011,427.769989,406.690002,423.899994,34351700,423.899994
TSLA,2020-11-04,430.619995,435.399994,417.100006,420.980011,32143100,420.980011
TSLA,2020-11-05,428.299988,440,424,438.089996,28414500,438.089996
TSLA,2020-11-06,436.100006,436.570007,424.279999,429.950012,21706000,429.950012
TSLA,2020-11-07,436.100006,436.570007,424.279999,429.950012,NA,429.950012
TSLA,2020-11-08,436.100006,436.570007,424.279999,429.950012,NA,429.950012
TSLA,2020-11-09,439.5,452.5,421,421.26001,34833000,421.26001
TSLA,2020-11-10,420.089996,420.089996,396.029999,410.359985,30284200,410.359985
TSLA,2020-11-11,416.450012,418.700012,410.579987,417.130005,17357700,417.130005
TSLA,2020-11-12,415.049988,423,409.519989,411.76001,19855100,411.76001
TSLA,2020-11-13,410.850006,412.529999,401.660004,408.5,19771100,408.5
TSLA,2020-11-14,410.850006,412.529999,401.660004,408.5,NA,408.5
TSLA,2020-11-15,410.850006,412.529999,401.660004,408.5,NA,408.5
TSLA,2020-11-16,408.929993,412.450012,404.089996,408.089996,26838600,408.089996
TSLA,2020-11-17,460.170013,462,433.01001,441.609985,61188300,441.609985
TSLA,2020-11-18,448.350006,496,443.5,486.640015,78044000,486.640015
TSLA,2020-11-19,492,508.609985,487.570007,499.269989,62475300,499.269989
TSLA,2020-11-20,497.98999,502.5,489.059998,489.609985,32911900,489.609985
TSLA,2020-11-21,497.98999,502.5,489.059998,489.609985,NA,489.609985
TSLA,2020-11-22,497.98999,502.5,489.059998,489.609985,NA,489.609985
TSLA,2020-11-23,503.5,526,501.790009,521.849976,50260300,521.849976
TSLA,2020-11-24,540.400024,559.98999,526.200012,555.380005,53648500,555.380005
TSLA,2020-11-25,550.059998,574,545.369995,574,48930200,574
TSLA,2020-11-26,550.059998,574,545.369995,574,NA,574
TSLA,2020-11-27,581.159973,598.780029,578.450012,585.76001,37561100,585.76001
TSLA,2020-11-28,581.159973,598.780029,578.450012,585.76001,NA,585.76001
TSLA,2020-11-29,581.159973,598.780029,578.450012,585.76001,NA,585.76001
TSLA,2020-11-30,602.210022,607.799988,554.51001,567.599976,63003100,567.599976
TSLA,2020-12-01,597.590027,597.849976,572.049988,584.76001,40103500,584.76001
TSLA,2020-12-02,556.440002,571.539978,541.210022,568.820007,47775700,568.820007
TSLA,2020-12-03,590.02002,598.969971,582.429993,593.380005,42552000,593.380005
TSLA,2020-12-04,591.01001,599.039978,585.5,599.039978,29401300,599.039978
TSLA,2020-12-05,591.01001,599.039978,585.5,599.039978,NA,599.039978
TSLA,2020-12-06,591.01001,599.039978,585.5,599.039978,NA,599.039978
TSLA,2020-12-07,604.919983,648.789978,603.049988,641.76001,56309700,641.76001
TSLA,2020-12-08,625.51001,651.280029,618.5,649.880005,64265000,649.880005
TSLA,2020-12-09,653.690002,654.320007,588,604.47998,71291200,604.47998
TSLA,2020-12-10,574.369995,627.75,566.340027,627.070007,67083200,627.070007
TSLA,2020-12-11,615.01001,624,596.799988,609.98999,46475000,609.98999
